category,speciesCode,comName,sciName,familyComName,familySciName,order,taxonOrder
species,acafly,Acadian Flycatcher,Empidonax virescens,Tyrant Flycatchers,Tyrannidae,Passeriformes,16783
species,aldfly,Alder Flycatcher,Empidonax alnorum,Tyrant Flycatchers,Tyrannidae,Passeriformes,16784
species,ameavo,American Avocet,Recurvirostra americana,Stilts and Avocets,Recurvirostridae,Charadriiformes,5723
species,amebit,American Bittern,Botaurus lentiginosus,"Herons, Egrets, and Bitterns",Ardeidae,Pelecaniformes,7473
species,ambduc,American Black Duck,Anas rubripes,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,550
species,y00475,American Coot,Fulica americana,"Rails, Gallinules, and Coots",Rallidae,Gruiformes,5443
species,amecro,American Crow,Corvus brachyrhynchos,"Crows, Jays, and Magpies",Corvidae,Passeriformes,21333
species,amgplo,American Golden-Plover,Pluvialis dominica,Plovers and Lapwings,Charadriidae,Charadriiformes,5758
species,amegfi,American Goldfinch,Spinus tristis,"Finches, Euphonias, and Allies",Fringillidae,Passeriformes,32338
species,amekes,American Kestrel,Falco sparverius,Falcons and Caracaras,Falconidae,Falconiformes,11913
species,amepip,American Pipit,Anthus rubescens,Wagtails and Pipits,Motacillidae,Passeriformes,31605
species,amered,American Redstart,Setophaga ruticilla,New World Warblers,Parulidae,Passeriformes,33779
species,amerob,American Robin,Turdus migratorius,Thrushes and Allies,Turdidae,Passeriformes,28313
species,amtspa,American Tree Sparrow,Spizelloides arborea,New World Sparrows,Passerellidae,Passeriformes,32813
species,amwpel,American White Pelican,Pelecanus erythrorhynchos,Pelicans,Pelecanidae,Pelecaniformes,7696
species,amewig,American Wigeon,Mareca americana,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,497
species,amewoo,American Woodcock,Scolopax minor,Sandpipers and Allies,Scolopacidae,Charadriiformes,6004
species,baisan,Baird's Sandpiper,Calidris bairdii,Sandpipers and Allies,Scolopacidae,Charadriiformes,6154
species,baleag,Bald Eagle,Haliaeetus leucocephalus,"Hawks, Eagles, and Kites",Accipitridae,Accipitriformes,8271
species,balori,Baltimore Oriole,Icterus galbula,Troupials and Allies,Icteridae,Passeriformes,33491
species,banswa,Bank Swallow,Riparia riparia,Swallows,Hirundinidae,Passeriformes,23821
species,barswa,Barn Swallow,Hirundo rustica,Swallows,Hirundinidae,Passeriformes,23957
species,brdowl,Barred Owl,Strix varia,Owls,Strigidae,Strigiformes,9117
species,babwar,Bay-breasted Warbler,Setophaga castanea,New World Warblers,Parulidae,Passeriformes,33804
species,belkin1,Belted Kingfisher,Megaceryle alcyon,Kingfishers,Alcedinidae,Coraciiformes,10202
species,blksco2,Black Scoter,Melanitta americana,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,712
species,blkter,Black Tern,Chlidonias niger,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6651
species,blkvul,Black Vulture,Coragyps atratus,New World Vultures,Cathartidae,Cathartiformes,7716
species,bawwar,Black-and-white Warbler,Mniotilta varia,New World Warblers,Parulidae,Passeriformes,33685
species,bkbplo,Black-bellied Plover,Pluvialis squatarola,Plovers and Lapwings,Charadriidae,Charadriiformes,5754
species,bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,233
species,bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus,Cuckoos,Cuculidae,Cuculiformes,3193
species,bkbwar,Blackburnian Warbler,Setophaga fusca,New World Warblers,Parulidae,Passeriformes,33805
species,bkcchi,Black-capped Chickadee,Poecile atricapillus,"Tits, Chickadees, and Titmice",Paridae,Passeriformes,21841
species,bcnher,Black-crowned Night Heron,Nycticorax nycticorax,"Herons, Egrets, and Bitterns",Ardeidae,Pelecaniformes,7513
species,bknsti,Black-necked Stilt,Himantopus mexicanus,Stilts and Avocets,Recurvirostridae,Charadriiformes,5713
species,bkpwar,Blackpoll Warbler,Setophaga striata,New World Warblers,Parulidae,Passeriformes,33853
species,btbwar,Black-throated Blue Warbler,Setophaga caerulescens,New World Warblers,Parulidae,Passeriformes,33856
species,btnwar,Black-throated Green Warbler,Setophaga virens,New World Warblers,Parulidae,Passeriformes,33928
species,blugrb1,Blue Grosbeak,Passerina caerulea,Cardinals and Allies,Cardinalidae,Passeriformes,34308
species,blujay,Blue Jay,Cyanocitta cristata,"Crows, Jays, and Magpies",Corvidae,Passeriformes,21066
species,buggna,Blue-gray Gnatcatcher,Polioptila caerulea,Gnatcatchers,Polioptilidae,Passeriformes,26874
species,buhvir,Blue-headed Vireo,Vireo solitarius,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,Passeriformes,19027
species,buwtea,Blue-winged Teal,Spatula discors,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,468
species,buwwar,Blue-winged Warbler,Vermivora cyanoptera,New World Warblers,Parulidae,Passeriformes,33680
species,boboli,Bobolink,Dolichonyx oryzivorus,Troupials and Allies,Icteridae,Passeriformes,33286
species,bongul,Bonaparte's Gull,Chroicocephalus philadelphia,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6397
species,brwhaw,Broad-winged Hawk,Buteo platypterus,"Hawks, Eagles, and Kites",Accipitridae,Accipitriformes,8383
species,brncre,Brown Creeper,Certhia americana,Treecreepers,Certhiidae,Passeriformes,26777
species,brnthr,Brown Thrasher,Toxostoma rufum,Mockingbirds and Thrashers,Mimidae,Passeriformes,27795
species,bnhcow,Brown-headed Cowbird,Molothrus ater,Troupials and Allies,Icteridae,Passeriformes,33556
species,bubsan,Buff-breasted Sandpiper,Calidris subruficollis,Sandpipers and Allies,Scolopacidae,Charadriiformes,6126
species,buffle,Bufflehead,Bucephala albeola,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,717
species,cacgoo1,Cackling Goose,Branta hutchinsii,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,319
species,cangoo,Canada Goose,Branta canadensis,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,330
species,canwar,Canada Warbler,Cardellina canadensis,New World Warblers,Parulidae,Passeriformes,34054
